,title,venue,pages,year,type,access,doi
7160,Vector-Quantized Autoencoder With Copula for Collaborative Filtering.,CIKM,3458-3462,2021,Conference and Workshop Papers,closed,10.1145/3459637.3482216
7161,An Approach to Cold-Start Link Prediction: Establishing Connections between Non-Topological and Topological Information.,IEEE Trans. Knowl. Data Eng.,2857-2870,2016,Journal Articles,closed,10.1109/TKDE.2016.2597823
7162,Route planning in a new tourist recommender system: A fireworks algorithm based approach.,CEC,4022-4028,2016,Conference and Workshop Papers,closed,10.1109/CEC.2016.7744300
7163,Modeling the Dynamics of User Preferences for Sequence-Aware Recommendation Using Hidden Markov Models.,FLAIRS,425-430,2019,Conference and Workshop Papers,open,
7164,BROAD-RSI - educational recommender system using social networks interactions and linked data.,J. Internet Serv. Appl.,7:1-7:28,2018,Journal Articles,open,10.1186/S13174-018-0076-5
7165,A Model-Based Approach to Generate Dynamic Synthetic Test Data: A Conceptual Model.,ICST Workshops,11-14,2019,Conference and Workshop Papers,closed,10.1109/ICSTW.2019.00026
7166,A Collaborative Filtering Movies Recommendation System based on Graph Neural Network.,ANT/EDI40,456-461,2023,Conference and Workshop Papers,closed,10.1016/J.PROCS.2023.03.058
7167,Unified Embedding Model over Heterogeneous Information Network for Personalized Recommendation.,IJCAI,3813-3819,2019,Conference and Workshop Papers,open,10.24963/IJCAI.2019/529
7168,Preserving privacy in collaborative filtering through distributed aggregation of offline profiles.,RecSys,157-164,2009,Conference and Workshop Papers,closed,10.1145/1639714.1639741
7169,The effects of recommendations' presentation on persuasion and satisfaction in a movie recommender system.,Multim. Syst.,219-230,2010,Journal Articles,closed,10.1007/S00530-010-0190-0
7170,Fusion of meteorological and air quality data extracted from the web for personalized environmental information services.,Environ. Model. Softw.,143-155,2015,Journal Articles,closed,10.1016/J.ENVSOFT.2014.11.021
7171,Collaborative filtering recommendation for MOOC application.,Comput. Appl. Eng. Educ.,120-128,2017,Journal Articles,closed,10.1002/CAE.21785
7172,Comparison of Fuzzy Co-clustering Methods in Collaborative Filtering-Based Recommender System.,MDAI,103-116,2017,Conference and Workshop Papers,closed,10.1007/978-3-319-67422-3_10
7173,Efficient Data-specific Model Search for Collaborative Filtering.,CoRR,,2021,Informal and Other Publications,open,
7174,Designing and evaluating recommender systems with the user in the loop.,,,2019,Books and Theses,closed,
7175,Work flow methodology: A proposed approach for analysis and conceptual design of large scale computer based information systems.,Inf. Manag.,333-343,1990,Journal Articles,closed,10.1016/0378-7206(90)90047-L
7176,A new approach for extracting the conceptual schema of texts based on the linguistic Thematic Progression theory.,CoRR,,2020,Informal and Other Publications,open,
7177,Recommender systems under European AI regulations.,Commun. ACM,69-73,2022,Journal Articles,closed,10.1145/3512728
7178,On the integration of Machine Learning algorithms and Operations Research techniques in the development of a hybrid Recommender System.,Intell. Decis. Technol.,497-510,2021,Journal Articles,closed,10.3233/IDT-200217
7179,A Nonnegative Latent Factor Model for Large-Scale Sparse Matrices in Recommender Systems via Alternating Direction Method.,IEEE Trans. Neural Networks Learn. Syst.,579-592,2016,Journal Articles,closed,10.1109/TNNLS.2015.2415257
7180,An Efficient Similarity Measure for User-Based Collaborative Filtering Recommender Systems Inspired by the Physical Resonance Principle.,IEEE Access,27211-27228,2017,Journal Articles,open,10.1109/ACCESS.2017.2778424
7181,Practitioner-based measurement: a collaborative approach.,Commun. ACM,142-147,2010,Journal Articles,closed,10.1145/1666420.1666456
7182,On identifying k-nearest neighbors in neighborhood models for efficient and effective collaborative filtering.,Neurocomputing,134-143,2018,Journal Articles,closed,10.1016/J.NEUCOM.2017.06.081
7183,FCM-type co-clustering with exclusive partition of selected items and application to collaborative filtering.,SCIS&ISIS,1327-1330,2012,Conference and Workshop Papers,closed,10.1109/SCIS-ISIS.2012.6505100
7184,Ensemble approach to detect profile injection attack in recommender system.,ICACCI,1734-1740,2015,Conference and Workshop Papers,closed,10.1109/ICACCI.2015.7275864
7185,An integrated web system to facilitate personalized web searching algorithms.,SAC,2397-2402,2008,Conference and Workshop Papers,closed,10.1145/1363686.1364255
7186,Item Recommendation Using Collaborative Filtering in Mobile Social Games: A Case Study.,BDCloud,293-297,2014,Conference and Workshop Papers,closed,10.1109/BDCLOUD.2014.73
7187,Towards personalized clinical in-silico modeling of atrial anatomy and electrophysiology.,Medical Biol. Eng. Comput.,1251-1260,2013,Journal Articles,closed,10.1007/S11517-012-0970-0
7188,A Variational Approach to Minimum-Jerk Trajectories for Psychological Safety in Collaborative Assembly Stations.,IEEE Robotics Autom. Lett.,823-829,2019,Journal Articles,closed,10.1109/LRA.2019.2893018
7189,Study on Personalized Location Privacy Preservation Algorithms Based on Road Networks.,ICA3PP,35-45,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-27161-3_4
7190,A Novel Explainable and Health-aware Food Recommender System.,KDIR,208-215,2022,Conference and Workshop Papers,closed,10.5220/0011561700003335
7191,Fuzzy Gravitational Search Approach to a Hybrid Data Model Based Recommender System.,KSEM,337-348,2018,Conference and Workshop Papers,closed,10.1007/978-3-319-99365-2_30
7192,A Context-Aware Recommender System for Extended Software Product Line Configurations.,VaMoS,97-104,2018,Conference and Workshop Papers,closed,10.1145/3168365.3168373
7193,"Beyond-Accuracy: A Review on Diversity, Serendipity and Fairness in Recommender Systems Based on Graph Neural Networks.",CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2310.02294
7194,Enhancing Graph Collaborative Filtering via Uniformly Co-Clustered Intent Modeling.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2309.12723
7195,Design of a lifestyle recommender system for the elderly: requirement gatherings in Germany and Greece.,PETRA,80:1-80:8,2015,Conference and Workshop Papers,closed,10.1145/2769493.2769559
7196,Personalized Ranking in Collaborative Filtering: Exploiting l-th Order Transitive Relations of Social Ties.,COMAD/CODS,214-218,2020,Conference and Workshop Papers,closed,10.1145/3371158.3371189
7197,A spatiotemporal estimation method for hourly rainfall based on F-SVD in the recommender system.,Environ. Model. Softw.,105148,2021,Journal Articles,open,10.1016/J.ENVSOFT.2021.105148
7198,A two-step model and the algorithm for recalling in recommender systems.,CoRR,,2013,Informal and Other Publications,open,
7199,A Top-N Algorithm-based Personalized Learning Recommendation System for Digital Library.,Int. J. Emerg. Technol. Learn.,55-59,2016,Journal Articles,closed,10.3991/IJET.V11I11.6256
7200,A Bipolar Approach to the Handling of User Preferences in Business Processes Retrieval.,IPMU,400-409,2012,Conference and Workshop Papers,closed,10.1007/978-3-642-31709-5_41
7201,Adaptive User Modeling with Long and Short-Term Preferences for Personalized Recommendation.,IJCAI,4213-4219,2019,Conference and Workshop Papers,open,10.24963/IJCAI.2019/585
7202,"Evolving personalized modeling system for integrated feature, neighborhood and parameter optimization utilizing gravitational search algorithm.",Evol. Syst.,1-14,2015,Journal Articles,closed,10.1007/S12530-013-9081-X
7203,A Comprehensive Review on Non-Neural Networks Collaborative Filtering Recommendation Systems.,CoRR,,2021,Informal and Other Publications,open,
7204,Discovery of User Preference in Personalized Design Recommender System through Combining Collaborative Filtering and Content Based Filtering.,Discovery Science,320-327,2003,Conference and Workshop Papers,closed,10.1007/978-3-540-39644-4_29
7205,Pivotal Role of Language Modeling in Recommender Systems: Enriching Task-specific and Task-agnostic Representation Learning.,CoRR,,2022,Informal and Other Publications,open,10.48550/ARXIV.2212.03760
7206,Flexible Mixture Model for Collaborative Filtering.,ICML,704-711,2003,Conference and Workshop Papers,closed,
7207,Enabling Model Recommenders for Command-Enabled Editors.,MDEBE@MoDELS,12-21,2013,Conference and Workshop Papers,open,
7208,Web Page Recommender System using hybrid of Genetic Algorithm and Trust for Personalized Web Search.,J. Inf. Technol. Res.,110-127,2018,Journal Articles,closed,10.4018/JITR.2018040107
7209,Concept Analysis And Terminology: A Knowledge-Based Approach To Documentation.,COLING,56-58,1990,Conference and Workshop Papers,open,
7210,Energy-Efficient Collaborative Inference in MEC: A Multi-Agent Reinforcement Learning Based Approach.,BigCom,407-412,2022,Conference and Workshop Papers,closed,10.1109/BIGCOM57025.2022.00057
7211,Collecting User Preferences from User Activities on E-Commerce Web-Site Focusing on Sending Targeted Advertisements.,J. Comput.,830-838,2018,Journal Articles,open,10.17706/JCP.13.7.830-838
7212,Personalized Queries under a Generalized User Profile Model based on Fuzzy SPARQL Preferences.,FUZZ-IEEE,1-6,2019,Conference and Workshop Papers,closed,10.1109/FUZZ-IEEE.2019.8858863
7213,Modelling web user synergism for the similarity measurement on the ontology matching: reasoning on web user felling for uncertain evolving systems.,WIMS,17,2013,Conference and Workshop Papers,closed,10.1145/2479787.2479799
7214,Applying Idea Management System (IMS) approach to design and implement a collaborative environment in public service related open innovation processes.,CAiSE Forum,25-32,2015,Conference and Workshop Papers,open,
7215,Collaborative Filtering-Based Electricity Plan Recommender System.,IEEE Trans. Ind. Informatics,1393-1404,2019,Journal Articles,closed,10.1109/TII.2018.2856842
7216,Is Meta-Learning the Right Approach for the Cold-Start Problem in Recommender Systems?,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.08354
7217,A Framework for Recommender System Based on Game Theory in Social Networks.,KST,95-100,2018,Conference and Workshop Papers,closed,10.1109/KST.2018.8426103
7218,Incremental Graph Convolutional Network for Collaborative Filtering.,CIKM,2170-2179,2021,Conference and Workshop Papers,closed,10.1145/3459637.3482354
7219,Personalized cardiac modeling and simulations in euHeart.,Medical Biol. Eng. Comput.,1179-1180,2013,Journal Articles,open,10.1007/S11517-013-1103-0
7220,Connecting Social Media to E-Commerce: Cold-Start Product Recommendation Using Microblogging Information.,IEEE Trans. Knowl. Data Eng.,1147-1159,2016,Journal Articles,closed,10.1109/TKDE.2015.2508816
7221,TAGme: A Topical Folksonomy Based Collaborative Filtering for Tag Recommendation in Community Sites.,MISNC,27:1-27:7,2017,Conference and Workshop Papers,closed,10.1145/3092090.3092095
7222,Developing a content and knowledge-based journal recommender system comparing distinct subject domains.,,,2019,Books and Theses,closed,
7223,Identifying product opportunities using collaborative filtering-based patent analysis.,Comput. Ind. Eng.,376-387,2017,Journal Articles,closed,10.1016/J.CIE.2016.04.009
7224,Time-Aware Music Recommender Systems: Modeling the Evolution of Implicit User Preferences and User Listening Habits in A Collaborative Filtering Approach.,CoRR,,2020,Informal and Other Publications,open,
7225,SelfCF: A Simple Framework for Self-supervised Collaborative Filtering.,CoRR,,2021,Informal and Other Publications,open,
7226,New Strategy Based on RBF Network to Develop a Collaborative Filtering Recommender System.,Comput. Informatics,757-787,2022,Journal Articles,open,10.31577/CAI_2022_3_757
7227,Contextual Collaborative Filtering via Hierarchical Matrix Factorization.,SDM,744-755,2012,Conference and Workshop Papers,closed,10.1137/1.9781611972825.64
7228,Spatio-textual user matching and clustering based on set similarity joins.,VLDB J.,297-320,2018,Journal Articles,closed,10.1007/S00778-018-0498-5
7229,An Effective Model for Drug-Drug Interactions Prediction in Cold-start Scenario via Counterfactual Data Augmentation.,BIBM,753-758,2023,Conference and Workshop Papers,closed,10.1109/BIBM58861.2023.10385255
7230,Sparse latent model with dual graph regularization for collaborative filtering.,Neurocomputing,128-137,2018,Journal Articles,closed,10.1016/J.NEUCOM.2018.01.011
7231,Exploiting MUSIC model to solve cold-start user problem in content-based music recommender systems.,Intell. Decis. Technol.,749-760,2021,Journal Articles,closed,10.3233/IDT-210196
7232,Personalized Group Recommender Systems for Location- and Event-Based Social Networks.,ACM Trans. Spatial Algorithms Syst.,16:1-16:29,2016,Journal Articles,closed,10.1145/2987381
7233,Recent Advances in Recommender Systems and Future Directions.,PReMI,3-9,2015,Conference and Workshop Papers,open,10.1007/978-3-319-19941-2_1
7234,TagiCoFi: tag informed collaborative filtering.,RecSys,69-76,2009,Conference and Workshop Papers,closed,10.1145/1639714.1639727
7235,Study of Short-Term Personalized Glucose Predictive Models on Type-1 Diabetic Children.,IJCNN,1-8,2019,Conference and Workshop Papers,closed,10.1109/IJCNN.2019.8852399
7236,Rec4LRW - Scientific Paper Recommender System for Literature Review and Writing.,ICADIWT,106-119,2015,Conference and Workshop Papers,closed,10.3233/978-1-61499-503-6-106
